"zipcode" "percentile" "superzip" "rank" "city" "state" "adultpop" "households" "college" "income."
"25866" 98.76401 1 NA "Lochgelly" "WV" 37 12 "56.76%" 166.467
"8502" 98.76075 1 210 "Belle Mead" "NJ" 11833 5331 "61.18%" 158.801
"98040" 98.75327 1 211 "Mercer Island" "WA" 15424 6266 "69.10%" 144.921
"94306" 98.74417 1 212 "Palo Alto" "CA" 17766 6148 "72.79%" 138.54
"10706" 98.73749 1 213 "Hastings on Hudson" "NY" 6600 2522 "63.61%" 154.256
"77027" 98.73258 1 214 "Houston" "TX" 11252 2926 "69.53%" 143.911
"19437" 98.72939 1 NA "Gwynedd Valley" "PA" 381 164 "73.75%" 136.446
"92861" 98.72816 1 215 "Villa Park" "CA" 4117 1718 "57.69%" 163.941
"33158" 98.72584 1 216 "Miami" "FL" 4298 1860 "60.56%" 158.828
"60010" 98.71727 1 217 "Barrington" "IL" 26906 11661 "59.10%" 161.223
"21029" 98.70856 1 218 "Clarksville" "MD" 4828 2128 "64.17%" 152.408
"3755" 98.70599 1 219 "Hanover" "NH" 4570 1512 "77.64%" 129.181
"2420" 98.70203 1 220 "Lexington" "MA" 9825 3910 "69.34%" 143.248
"60015" 98.6944 1 221 "Deerfield" "IL" 17995 7509 "66.12%" 148.625
"80016" 98.68814 1 222 "Aurora" "CO" 4746 2184 "62.12%" 155.482
"66220" 98.68657 1 223 "Lenexa" "KS" 1024 460 "62.40%" 154.06
"12429" 98.68627 1 NA "Esopus" "NY" 15 7 "0%" 261.521
"19072" 98.68438 1 224 "Narberth" "PA" 6883 2571 "71.20%" 138.68
"94939" 98.68105 1 225 "Larkspur" "CA" 5264 1652 "66.72%" 146.168
"30005" 98.675 1 226 "Alpharetta" "GA" 16794 7248 "68.91%" 142.35
"2445" 98.66527 1 227 "Brookline" "MA" 18688 6199 "75.25%" 131.38
"10006" 98.65981 1 228 "New York" "NY" 1174 230 "70.95%" 138.78
"30306" 98.65487 1 229 "Atlanta" "GA" 16821 3614 "74.12%" 133.167
"7901" 98.64594 1 230 "Summit" "NJ" 15710 6100 "61.73%" 154.502
"1720" 98.63803 1 231 "Acton" "MA" 13148 5399 "69.14%" 141.687
"90265" 98.6308 1 232 "Malibu" "CA" 13199 4697 "59.00%" 159.005
